Wall time,Step,Value
1609698309.55469,1,0.024124355986714363
1609698314.0810504,2,0.02042411081492901
1609698318.5289154,3,0.018286049365997314
1609698323.013901,4,0.01600160449743271
1609698327.4794347,5,0.014370379038155079
1609698331.957627,6,0.012963204644620419
1609698336.454956,7,0.012176900170743465
1609698340.925756,8,0.011473932303488255
1609698345.3907142,9,0.011040658690035343
1609698349.8937097,10,0.010038343258202076
1609698354.3700454,11,0.010151280090212822
1609698358.848935,12,0.010080269537866116
1609698363.3498006,13,0.009055057540535927
1609698367.847823,14,0.008742180652916431
1609698372.3651097,15,0.008374136872589588
1609698376.8560956,16,0.008353907614946365
1609698381.3467824,17,0.007832604460418224
1609698385.8467152,18,0.007959741167724133
1609698390.349517,19,0.007947662845253944
1609698394.8341033,20,0.007726835552603006
1609698399.3199968,21,0.0074784522876143456
1609698403.8224373,22,0.007761204615235329
1609698408.3238828,23,0.007421320304274559
1609698412.8013284,24,0.00715765543282032
1609698417.283028,25,0.006969616748392582
1609698421.7750745,26,0.007177063263952732
1609698426.250207,27,0.006877763196825981
1609698430.73088,28,0.0069342972710728645
1609698435.2202084,29,0.006718533579260111
1609698439.7027373,30,0.006785081699490547
1609698444.1799939,31,0.006861139088869095
1609698448.6995947,32,0.0064495946280658245
1609698453.2189438,33,0.006454433314502239
1609698457.7233198,34,0.006676458287984133
1609698462.2181983,35,0.006521335802972317
1609698466.6974728,36,0.006054185330867767
1609698471.221258,37,0.00628522178158164
1609698475.7474475,38,0.0062590898014605045
1609698480.286458,39,0.005932454485446215
1609698484.7654822,40,0.006017745938152075
1609698489.290563,41,0.0063714864663779736
1609698493.7867367,42,0.006026634015142918
1609698498.2807057,43,0.006018889602273703
1609698502.7907553,44,0.005917053669691086
1609698507.2995956,45,0.005840235389769077
1609698511.7796917,46,0.005776761099696159
1609698516.260289,47,0.006092410534620285
1609698520.7668886,48,0.005817025899887085
1609698525.2749612,49,0.005563903599977493
1609698529.8028803,50,0.006152507849037647
1609698534.2909703,51,0.005764930509030819
1609698538.8119009,52,0.005875968839973211
1609698543.3003275,53,0.005523621570318937
1609698547.7914774,54,0.005897716619074345
1609698552.3223715,55,0.005553064867854118
1609698556.841454,56,0.005549892317503691
1609698561.3450077,57,0.0054543158039450645
1609698565.8434377,58,0.00542004220187664
1609698570.36088,59,0.0053662327118217945
1609698574.8796387,60,0.005457740277051926
1609698579.3784177,61,0.005273609422147274
1609698583.8679197,62,0.005439734552055597
1609698588.3461297,63,0.005611210595816374
1609698592.8256884,64,0.005533597897738218
